code,areaName,-8,0,1,2,3,4,5,6
16148,10772,12998,5148,15712,26952,2751,E14000530,Aldershot,20791
14244,6916,9159,3906,11067,16786,1766,E14000531,Aldridge-Brownhills,13808
9131,5703,9718,3460,11217,38655,1562,E14000532,Altrincham and Sale West,21480
12021,8127,13252,4434,15113,31907,2276,E14000534,Arundel and South Downs,17164
20866,10369,13504,5883,15054,17560,2207,E14000535,Ashfield,19051
18170,11692,15739,5698,17433,30565,2979,E14000536,Ashford,25048
18172,8962,11335,5389,12864,17704,2210,E14000537,Ashton-under-Lyne,19337
24117,11029,13357,3981,14499,36269,4046,E14000540,Barking,38590
12555,6876,9397,7507,14520,20442,1622,E14000543,Barrow and Furness,14519
15127,9834,12601,4026,13083,20108,2009,E14000544,Basildon and Billericay,20911
14480,10921,13971,4776,17328,32111,2602,E14000545,Basingstoke,23307
19410,9853,13340,6033,15523,22486,2775,E14000546,Bassetlaw,18990
7995,4575,7654,2748,20290,36301,1676,E14000547,Bath,13807
20226,9486,12593,5439,15187,22112,2498,E14000548,Batley and Spen,23152
9217,4353,6419,1780,10763,66088,2292,E14000549,Battersea,18519
11403,6965,10845,4012,12656,37326,2047,E14000550,Beaconsfield,19777
9192,6300,10193,3005,11685,32884,1811,E14000551,Beckenham,17707
17524,9896,11588,4944,13524,28585,3002,E14000552,Bedford,21538
16394,7346,8829,3101,15910,67375,3118,E14000553,Bermondsey and Old Southwark,20691
11769,6367,9174,4824,10849,20358,1692,E14000554,Berwick-upon-Tweed,10506
14866,8547,11699,6255,14773,26436,2361,E14000556,Beverley and Holderness,15005
15725,9817,13337,5383,15176,26706,2662,E14000557,Bexhill and Battle,15869
13692,8385,10958,4014,12112,23545,2153,E14000558,Bexleyheath and Crayford,19753
15703,7467,11124,4466,12813,19327,1744,E14000559,Birkenhead,17633
14759,6507,8551,2684,14127,32064,2180,E14000560,Birmingham Edgbaston,19254
22055,9510,10977,3867,12794,19882,2434,E14000561,Birmingham Erdington,23338
31195,11502,13584,2864,14091,18827,3169,E14000563,Birmingham Hodge Hill,37141
26438,10598,11166,2937,20610,36961,3614,E14000564,Birmingham Ladywood,31737
19270,8979,11829,3979,13723,22712,2161,E14000565,Birmingham Northfield,23241
23307,9836,11238,3468,13845,22247,2939,E14000566,Birmingham Perry Barr,25560
15936,7015,9816,3005,22577,29504,2049,E14000567,Birmingham Selly Oak,19703
23820,10298,12639,3620,14000,20986,2815,E14000568,Birmingham Yardley,28785
16616,7273,10899,5107,13637,19250,1752,E14000569,Bishop Auckland,15379
22954,9604,11829,4331,12978,22058,2846,E14000570,Blackburn,27795
25135,9932,11684,4177,12800,26851,3295,E14000571,Blackley and Broughton,35036
15919,7761,10462,4846,11868,16651,1916,E14000572,Blackpool North and Cleveleys,13448
16737,7943,9893,4461,11078,14507,1763,E14000573,Blackpool South,14618
13405,7718,11083,5376,13586,17404,1777,E14000575,Blyth Valley,14988
19826,9479,12504,5590,14680,18345,2207,E14000577,Bolsover,17347
18234,8623,11117,4891,12964,21517,2248,E14000578,Bolton North East,21490
22756,9788,11975,4950,13387,19129,2715,E14000579,Bolton South East,26708
14611,7869,11184,5369,13929,25704,1861,E14000580,Bolton West,18580
20046,9441,12117,4636,14513,19765,1950,E14000581,Bootle,18914
26009,11361,13324,6506,13160,16550,3741,E14000582,Boston and Skegness,18838
16299,9485,12775,5812,15925,25780,2220,E14000583,Bosworth,18537
13332,8273,12105,4891,16132,30871,2645,E14000584,Bournemouth East,18689
14753,8764,11659,5164,20836,27933,2635,E14000585,Bournemouth West,15881
25938,10818,12700,4381,13328,19652,3016,E14000587,Bradford East,31982
20672,9821,11868,5034,13244,18460,2310,E14000588,Bradford South,25031
26300,10241,11477,3580,12949,22918,3141,E14000589,Bradford West,30749
16972,8597,10604,3627,13889,57427,4215,E14000593,Brentford and Isleworth,28539
13217,8097,12532,4039,13665,26626,2145,E14000594,Brentwood and Ongar,18046
19222,10923,14961,6603,17076,25152,3017,E14000595,Bridgwater and West Somerset,19336
15492,8131,11044,5317,12918,17999,2119,E14000596,Brigg and Goole,14648
8402,5179,8764,2432,20699,42799,1802,E14000598,Brighton Pavilion,14662
14931,7977,10798,4566,14927,29992,2194,E14000599,Bristol East,18930
13951,7223,10454,3711,15480,35400,2161,E14000600,Bristol North West,21666
9232,4979,8467,2118,29130,65083,1944,E14000602,Bristol West,19012
15057,9314,13293,5862,15182,23020,2256,E14000603,Broadland,16079
10828,6514,9943,2890,11121,33101,1912,E14000604,Bromley and Chislehurst,19784
12725,7355,11428,4338,13476,29698,2081,E14000605,Bromsgrove,18082
11100,7903,12760,4459,14855,37102,2024,E14000608,Buckingham,21047
18347,8368,10415,4920,12610,18299,2240,E14000609,Burnley,19447
14114,7313,10675,4234,12241,23100,2123,E14000611,Bury North,18058
14592,7756,11984,4371,13346,26936,2088,E14000612,Bury South,20920
17174,10599,13911,5944,17077,30515,2831,E14000613,Bury St Edmunds,19396
13598,7714,11424,5301,14820,29749,1740,E14000614,Calder Valley,18228
16194,7260,9105,2854,12801,54129,2482,E14000615,Camberwell and Peckham,23207
13631,7948,11866,5462,15396,22343,1999,E14000616,Camborne and Redruth,16798
11078,5553,7782,3038,21153,63412,2432,E14000617,Cambridge,19298
18134,9826,13079,4989,15521,18748,2181,E14000618,Cannock Chase,18041
13841,7477,11134,4117,22417,34632,2498,E14000619,Canterbury,17273
17753,10153,12632,5036,12659,13747,2432,E14000622,Castle Point,15175
15379,8939,12793,5419,14887,25652,2316,E14000624,Central Suffolk and North Ipswich,17741
14923,8468,11668,5689,14751,28373,2020,E14000625,Charnwood,19028
16068,9892,13346,5029,14337,19491,2384,E14000626,Chatham and Aylesford,22015
9765,6040,10019,3808,11869,34080,1745,E14000627,Cheadle,18154
13371,9161,13394,4541,15764,32748,2491,E14000628,Chelmsford,21401
8753,3519,6032,1623,10898,53060,2375,E14000629,Chelsea and Fulham,15495
11723,6971,11128,3806,14134,38716,2152,E14000630,Cheltenham,18498
9198,5801,9862,3248,11090,36662,1609,E14000631,Chesham and Amersham,19216
15407,8411,11703,4884,13897,21267,1942,E14000632,Chesterfield,15730
14375,8562,13103,4964,17221,35951,2437,E14000633,Chichester,17808
13784,6660,9518,3231,11051,30687,2200,E14000634,Chingford and Woodford Green,18845
11760,8685,12390,4449,14990,29381,2016,E14000635,Chippenham,17965
13605,6724,10088,3197,12276,46016,2634,E14000636,Chipping Barnet,22972
13742,8010,12015,5714,15411,28760,1878,E14000637,Chorley,19480
13216,8075,11292,5562,12554,22279,2477,E14000638,Christchurch,12348
9274,3668,5490,1873,11305,55957,2811,E14000639,Cities of London and Westminster,10658
12076,6627,10244,3988,15029,34243,1905,E14000640,City of Chester,16154
13193,5960,9631,3960,22179,28306,1783,E14000641,City of Durham,14342
23058,10131,11472,5351,11195,13539,2635,E14000642,Clacton,13585
16915,8896,12008,5550,13504,18944,2326,E14000643,Cleethorpes,16024
15133,10167,14499,4717,19572,32436,2546,E14000644,Colchester,24792
15121,8079,11423,6188,15941,32522,2164,E14000645,Colne Valley,21504
12407,7479,12131,5286,15542,31402,1885,E14000646,Congleton,17907
22219,10653,12895,4975,14801,26739,3430,E14000649,Coventry North East,28701
16758,9099,11533,5197,15448,25625,2794,E14000650,Coventry North West,20836
16682,12423,15256,4895,15358,25773,3180,E14000652,Crawley,24924
17690,9461,13244,6812,15809,27948,2622,E14000653,Crewe and Nantwich,20571
16696,9418,12467,3878,14510,39689,2838,E14000654,Croydon Central,25383
20751,10915,13301,4307,16285,45910,3968,E14000655,Croydon North,31219
12430,8037,12473,3601,14740,41745,2440,E14000656,Croydon South,23719
20345,9744,12040,4103,12622,26588,2949,E14000657,Dagenham and Rainham,27408
13388,9502,13076,5273,15147,29689,2217,E14000660,Daventry,19286
14872,7920,10833,5152,13027,17888,1754,E14000661,Denton and Reddish,16380
14380,7924,10970,5202,16232,27550,2193,E14000662,Derby North,18784
22961,10569,12305,5345,13968,23361,3359,E14000663,Derby South,26649
10602,5874,9068,3592,10829,27347,1509,E14000664,Derbyshire Dales,12006
11574,8442,13088,5127,16046,27768,1963,E14000665,Devizes,19809
20430,8833,12562,5406,15196,25232,2365,E14000666,Dewsbury,23621
19706,9053,12842,5638,14420,19908,2210,E14000667,Don Valley,17937
21563,10184,12493,5779,13868,20632,2885,E14000668,Doncaster Central,20153
20536,9484,12569,5348,13306,16392,2110,E14000669,Doncaster North,19091
16706,9603,13174,5010,15169,21663,2576,E14000670,Dover,18167
17465,7610,10065,4152,11375,15997,2077,E14000671,Dudley North,17511
11403,5457,7760,2332,10608,52955,1796,E14000673,Dulwich and West Norwood,21566
12942,5719,7824,2884,13579,60505,3392,E14000674,Ealing Central and Acton,22368
19860,9344,11005,4441,13975,40033,4191,E14000675,Ealing North,27056
20123,8759,8632,2687,10366,30443,4668,E14000676,Ealing Southall,22320
17434,7187,10376,4154,11787,14096,1751,E14000677,Easington,14727
12814,8904,14012,5594,16089,33685,2389,E14000678,East Devon,18429
12818,9003,13967,4225,16199,33861,2417,E14000681,East Surrey,22806
14643,8966,12315,4887,14383,24349,2224,E14000682,East Worthing and Shoreham,17858
18182,9129,12688,6276,14521,24928,2566,E14000683,East Yorkshire,16070
13215,9770,14073,6250,18119,29396,2302,E14000685,Eastleigh,22192
12843,7567,11373,4293,13786,29193,1842,E14000686,Eddisbury,17661
24629,9683,10290,3471,12007,26967,3144,E14000687,Edmonton,27844
13186,8019,11259,4525,14157,22763,1882,E14000688,Ellesmere Port and Neston,16379
14787,8192,11780,5435,14106,29581,2034,E14000689,Elmet and Rothwell,18235
14217,6802,9095,3145,11032,30834,2092,E14000690,Eltham,19928
18564,8117,10169,3555,11972,28666,2498,E14000691,Enfield North,25450
15274,8367,11802,3846,13102,28538,2215,E14000693,Epping Forest,19469
11196,7202,11722,3719,13976,39371,2303,E14000694,Epsom and Ewell,22234
16134,9059,12000,5826,14349,19216,1985,E14000695,Erewash,16603
10099,6027,10427,3031,12425,46550,2033,E14000697,Esher and Walton,25216
13544,7934,10903,4688,25834,33428,2311,E14000698,Exeter,16587
16267,8537,11116,5274,13791,18245,1777,E14000533,Amber Valley,15312
17799,11738,15698,6003,17958,37787,3046,E14000539,Banbury,26433
18669,8128,10691,4783,12565,17401,2069,E14000541,Barnsley Central,16250
20611,8575,11436,5343,12947,15787,1999,E14000542,Barnsley East,17660
20247,7993,10100,2465,16381,57049,3319,E14000555,Bethnal Green and Bow,25465
23770,9366,11240,2380,13628,30081,2657,E14000562,Birmingham Hall Green,28792
14168,7056,10293,5527,12915,21289,1953,E14000574,Blaydon,14820
19315,11098,14103,6217,15967,22358,3142,E14000576,Bognor Regis and Littlehampton,17953
12217,9737,13583,4718,15916,32639,2429,E14000586,Bracknell,22720
15396,10572,14247,5080,15396,21404,2301,E14000590,Braintree,18867
26748,10866,11552,4578,15997,45496,4765,E14000591,Brent Central,29717
27414,11107,11508,3895,13832,45000,5199,E14000592,Brent North,26964
13883,7225,9582,3664,15683,27599,2082,E14000597,Brighton Kemptown,13940
18543,9174,12070,4887,14444,33631,2244,E14000601,Bristol South,23149
17253,9798,12424,4730,14029,23470,2446,E14000606,Broxbourne,20499
13152,7254,9781,4598,14575,29168,1928,E14000607,Broxtowe,15857
18891,9979,13253,5526,15501,24999,2787,E14000610,Burton,21593
14939,7851,10705,5192,12788,19561,1861,E14000620,Carlisle,15317
13259,8143,11170,3587,13046,30734,2304,E14000621,Carshalton and Wallington,22441
12264,7821,11536,4677,13428,28012,1951,E14000623,Central Devon,15772
20905,12007,15924,6311,17299,28002,3179,E14000648,Corby,25838
15263,7287,10971,5395,13804,20571,1964,E14000658,Darlington,16942
15649,10512,14640,5374,15990,30901,2677,E14000659,Dartford,26941
15834,7567,10100,4120,11588,15272,1906,E14000672,Dudley South,15203
28158,12462,13541,3932,16998,47769,5141,E14000679,East Ham,38953
11219,7377,12257,3907,14881,33328,1978,E14000680,East Hampshire,18104
16783,10140,13386,5292,15569,27001,3004,E14000684,Eastbourne,18069
14620,6351,8546,3029,10497,37739,2669,E14000692,Enfield Southgate,19508
18190,9585,11605,3966,13004,31601,2933,E14000696,Erith and Thamesmead,27418
11481,8302,12263,5465,16139,27572,2058,E14000699,Fareham,16915
15086,8898,12603,4937,13985,24219,2227,E14000700,Faversham and Mid Kent,19541
25661,13077,12786,4463,14157,37649,5560,E14000701,Feltham and Heston,30961
11188,7873,11216,4764,17943,31616,2179,E14000702,Filton and Bradley Stoke,19432
14373,5975,9385,2712,11512,53044,3033,E14000703,Finchley and Golders Green,26011
18415,11048,14275,6045,16591,26651,3023,E14000704,Folkestone and Hythe,19131
13879,7983,11983,4933,13530,22527,2021,E14000705,Forest of Dean,14700
11801,6926,10390,4726,13163,26043,1895,E14000706,Fylde,13584
14758,8452,11954,5515,14736,23730,2155,E14000707,Gainsborough,16444
18933,8080,11035,4196,13269,25015,1751,E14000708,Garston and Halewood,19011
17747,7522,9983,4975,12092,20606,1945,E14000709,Gateshead,16795
13849,7588,10900,4734,14379,24311,1960,E14000710,Gedling,16966
15342,10048,13034,5227,15227,20720,2476,E14000711,Gillingham and Rainham,20239
18490,11512,15043,5958,18294,26904,2773,E14000712,Gloucester,23907
13462,9578,12353,5322,15606,20987,2261,E14000713,Gosport,16701
16022,9806,14023,6077,16561,27343,2514,E14000714,Grantham and Stamford,20438
17186,10086,12846,4954,13962,22572,2948,E14000715,Gravesham,22346
21926,10744,12935,5971,13209,15091,2843,E14000717,Great Yarmouth,17029
15334,7132,9600,3043,13457,58331,2771,E14000718,Greenwich and Woolwich,26126
18609,6619,9036,2566,11739,54106,2783,E14000720,Hackney North and Stoke Newington,28755
17274,8155,11268,4244,12888,18633,2158,E14000722,Halesowen and Rowley Regis,17960
18367,8599,11927,5223,14276,21670,2226,E14000723,Halifax,21769
11096,6944,10351,5268,13333,26946,1986,E14000724,Haltemprice and Howden,14542
16643,9326,13243,4473,14550,18732,2010,E14000725,Halton,18540
12856,5567,7604,2495,13139,55345,2970,E14000726,Hammersmith,17853
12499,5174,7499,2170,11506,65082,2839,E14000727,Hampstead and Kilburn,21916
14526,8342,11772,5172,15993,31645,2297,E14000728,Harborough,19658
17089,10799,13067,4691,13730,20579,2480,E14000729,Harlow,21939
11901,7266,12035,4628,13895,35333,2148,E14000730,Harrogate and Knaresborough,17533
18307,7850,9696,2950,11134,36759,3109,E14000731,Harrow East,21380
17286,7076,10963,5205,13776,18526,1854,E14000733,Hartlepool,17652
14451,9092,12311,5030,14565,22310,2280,E14000734,Harwich and North Essex,15752
18228,10074,13578,4784,15250,26049,2588,E14000735,Hastings and Rye,18740
15920,8851,11987,4817,13664,20890,2108,E14000736,Havant,16768
22147,11287,11392,3960,12851,31283,4519,E14000737,Hayes and Harlington,28961
10412,6315,9362,4617,11082,22861,1592,E14000738,Hazel Grove,14133
13718,9466,12528,4381,14192,28878,2181,E14000739,Hemel Hempstead,22238
21165,8646,12046,5016,13042,19336,2276,E14000740,Hemsworth,18707
19784,8603,11214,3720,14753,52582,4123,E14000741,Hendon,31007
10385,6829,10713,4092,13061,38430,1889,E14000742,Henley,18354
15316,8060,11613,4902,13777,25049,2373,E14000743,Hereford and South Herefordshire,16451
12640,8595,13095,4219,15358,36564,2183,E14000744,Hertford and Stortford,22432
13778,7921,11396,3825,12741,34134,2396,E14000745,Hertsmere,21635
9231,5235,8449,3782,10457,25840,1554,E14000746,Hexham,11852
19022,9075,12574,5585,14897,23462,2276,E14000747,Heywood and Middleton,22495
11307,7063,10412,4578,13751,26922,1627,E14000748,High Peak,15273
8771,5932,9996,2992,11477,40936,1678,E14000749,Hitchin and Harpenden,21877
17827,10065,13788,4602,15072,26500,2676,E14000751,Hornchurch and Upminster,22094
11379,9243,14991,4598,17815,35315,2360,E14000753,Horsham,22291
16999,8128,11054,5649,12928,17418,1847,E14000754,Houghton and Sunderland South,15696
10761,6378,9570,3213,13305,39343,2007,E14000755,Hove,16958
16055,7379,9535,4622,13863,23666,2156,E14000756,Huddersfield,18665
15759,10508,14215,5411,17012,34558,2682,E14000757,Huntingdon,22396
16861,7803,10664,5416,13226,19142,1925,E14000758,Hyndburn,18988
15589,8109,10638,3072,12739,37881,3111,E14000759,Ilford North,24122
21824,10310,12531,3262,15441,44092,4619,E14000760,Ilford South,35271
19542,10846,13027,5626,14924,25182,2885,E14000761,Ipswich,22788
22064,13355,17501,8926,21444,32783,3513,E14000762,Isle of Wight,20873
12545,5217,6613,2072,10657,53072,2020,E14000763,Islington North,17632
12712,5056,6533,2140,11680,50903,2406,E14000764,Islington South and Finsbury,15331
13599,6922,9912,5623,12750,18296,1579,E14000765,Jarrow,15161
15612,7696,10922,4937,13311,25546,1907,E14000766,Keighley,19449
9095,5876,9274,3729,13672,33116,1661,E14000767,Kenilworth and Southam,15523
10694,4252,6554,1795,11567,53865,2754,E14000768,Kensington,15468
15757,9848,13298,5468,14331,23759,2520,E14000769,Kettering,20840
12956,7014,10296,3506,15651,48779,2793,E14000770,Kingston and Surbiton,23162
19340,8882,11109,5380,12428,13765,2250,E14000771,Kingston upon Hull East,18160
18478,8386,10641,4966,15694,19648,2511,E14000772,Kingston upon Hull North,20642
18255,8091,10174,5232,11833,17150,2541,E14000773,Kingston upon Hull West and Hessle,16944
24500,9539,12675,4885,15167,20405,1970,E14000775,Knowsley,22263
12602,6238,9014,3887,18285,24629,1795,E14000776,Lancaster and Fleetwood,14028
24866,10938,12564,5270,27914,38006,3557,E14000777,Leeds Central,28772
20833,9447,10908,4824,12052,20134,2458,E14000778,Leeds East,24232
11310,5871,8181,2748,10150,37056,1638,E14000779,Leeds North East,19226
8424,4523,7267,2865,19511,31107,1355,E14000780,Leeds North West,12291
17389,8482,10301,4623,13554,24081,1967,E14000781,Leeds West,18655
23041,9420,11394,3262,21263,31609,3747,E14000783,Leicester South,24527
22052,9808,10888,4367,14253,23157,3500,E14000784,Leicester West,25145
17680,9339,13769,5980,16285,23596,2196,E14000785,Leigh,20271
11648,7492,10717,4012,12438,27709,2059,E14000786,Lewes,14859
14426,7085,9360,2938,11543,39068,2443,E14000787,Lewisham East,22278
12341,6779,9192,2662,11411,44758,2130,E14000788,Lewisham West and Penge,22552
13767,6757,8958,2827,13611,56761,2583,E14000789,Lewisham Deptford,22620
14277,6949,8553,2853,10781,40604,2955,E14000790,Leyton and Wanstead,20711
13626,8054,11385,4426,14231,28140,2045,E14000791,Lichfield,16719
16641,9447,12741,5610,24848,26439,2547,E14000792,Lincoln,19098
18355,6451,8594,3175,29902,41580,2300,E14000793,Liverpool Riverside,14988
21371,8250,10533,4024,12679,16873,2073,E14000794,Liverpool Walton,17509
15592,6255,8161,3086,15372,25789,1662,E14000795,Liverpool Wavertree,16200
19666,7720,10330,4102,12719,19384,1830,E14000796,Liverpool West Derby,19028
20112,9628,13012,6122,14652,20007,2635,E14000798,Louth and Horncastle,14550
13325,7031,10747,4265,12049,23839,2032,E14000799,Ludlow,12084
22186,10852,11747,4833,13851,28334,3969,E14000801,Luton South,27733
10883,6526,10705,4263,13170,32372,1694,E14000802,Macclesfield,15959
10664,6918,10756,3541,12928,39974,2043,E14000803,Maidenhead,21123
15414,9702,13892,5323,15929,28979,2664,E14000804,Maidstone and The Weald,21262
17171,8407,12982,6152,14810,20209,1998,E14000805,Makerfield,17957
21938,8729,11593,4131,25584,53470,3349,E14000807,Manchester Central,27507
19976,7588,9524,2833,19624,30942,3063,E14000808,Manchester Gorton,26682
10268,4506,6714,1948,15521,43187,1510,E14000809,Manchester Withington,16612
21910,10542,13216,5898,15853,19902,2849,E14000810,Mansfield,20312
11708,7526,11690,4798,14892,28863,2056,E14000811,Meon Valley,16662
17597,9349,13479,4285,14810,29767,2221,E14000812,Meriden,23090
12791,9268,14173,5720,18445,36001,2176,E14000813,Mid Bedfordshire,24439
10577,6341,9402,5012,12408,24784,1596,E14000814,Mid Derbyshire,13822
10272,7409,11014,4791,12765,21996,1879,E14000815,Mid Dorset and North Poole,14279
18652,10476,14697,6166,16174,23721,2739,E14000816,Mid Norfolk,18748
11012,8694,14126,4289,16971,36195,2385,E14000817,Mid Sussex,21981
16435,9371,12428,5215,14981,28635,2550,E14000818,Mid Worcestershire,18129
19685,7686,10081,4476,12973,19220,2061,E14000819,Middlesbrough,20891
17292,11699,15542,5239,17367,39963,3254,E14000821,Milton Keynes North,29603
18285,12723,16469,5238,18004,40582,3174,E14000822,Milton Keynes South,32626
16906,8493,10055,3839,12736,36050,3238,E14000823,Mitcham and Morden,22654
9734,6798,10908,3539,12454,34964,1866,E14000824,Mole Valley,16393
13723,7548,10561,5110,13770,20985,1978,E14000825,Morecambe and Lunesdale,15626
15701,8661,12468,5764,15178,25681,2111,E14000826,Morley and Outwood,19060
11885,7195,10659,4951,12233,23955,2235,E14000828,New Forest West,11893
14991,8522,12236,5291,15402,28487,2306,E14000829,Newark,17324
18930,6999,8437,3537,15484,27263,2284,E14000831,Newcastle upon Tyne Central,20822
14641,7472,10004,5019,12637,27602,1928,E14000833,Newcastle upon Tyne North,18283
